,title,location,cost_for_two,cuisine,ratings,review_counts,phone,url
11,Bazaar - All Day Diner - Grand by GRT Hotels,Grand by GRT Hotels,"₹2,500","North Indian,South Indian,Continental,Asian",4.6,899 votes,"+91 7550036789, +91 9940141914",https://www.zomato.com/chennai/bazaar-all-day-diner-grand-by-grt-hotels-t-nagar
12,10 Downing Street,T. Nagar,"₹1,000","Finger Food,North Indian,Chinese,Continental",4.1,2807 votes,"+91 9840510203, +91 8056005079",https://www.zomato.com/chennai/10-downing-street-t-nagar
13,Watson's,T. Nagar,"₹1,000","Asian,Continental,Finger Food,North Indian",4.2,712 votes,"+91 7824001209, +91 7824001205",https://www.zomato.com/chennai/watsons-t-nagar
14,J.Hind - Grand by GRT Hotels,Grand by GRT Hotels,"₹2,500","North Indian,Mughlai,South Indian",4.8,916 votes,"+91 9677264646, +91 9940141914",https://www.zomato.com/chennai/j-hind-grand-by-grt-hotels-t-nagar
15,Murugan Idli Shop,T. Nagar,₹300,South Indian,4.3,1012 votes,"044 42025076, +91 9597086501",https://www.zomato.com/chennai/murugan-idli-shop-t-nagar
16,Hotel Junior Kuppanna,T. Nagar,₹700,"South Indian,Chinese,Biryani",4.1,939 votes,"044 28340071, 044 28340072",https://www.zomato.com/chennai/hotel-junior-kuppanna-t-nagar
17,Dindigul Thalappakatti,T. Nagar,₹800,"South Indian,Biryani,Chinese,North Indian",4,692 votes,044 30205508,https://www.zomato.com/chennai/dindigul-thalappakatti-t-nagar
18,Pakwan Chennai,T. Nagar,"₹1,200","North Indian,Chinese,Italian",4.2,777 votes,"044 43370888, 044 43371888",https://www.zomato.com/chennai/pakwan-chennai-t-nagar
19,Courtallam Border Rahmath Kadai,T. Nagar,₹400,South Indian,4,803 votes,044 45556261,https://www.zomato.com/chennai/courtallam-border-rahmath-kadai-t-nagar
20,The Vault - Bar Stock Exchange,T. Nagar,"₹1,500","Continental,Italian,Mexican",3.9,808 votes,"044 42630003, +91 9566088811",https://www.zomato.com/chennai/the-vault-bar-stock-exchange-t-nagar
21,US 101 - Be-A-Sport,"GLM Meridian Hotel, T. Nagar","₹1,350","Continental,South Indian,Italian,North Indian,Asian,Kebab",4.1,884 votes,"+91 9444069520, +91 8056020701",https://www.zomato.com/chennai/us-101-be-a-sport-t-nagar
22,Shyam's Bombay Halwa House,T. Nagar,₹600,North Indian,4.3,768 votes,"044 28150504, +91 9884455897",https://www.zomato.com/chennai/shyams-bombay-halwa-house-t-nagar
23,Amdavadi,T. Nagar,₹600,Gujarati,3.8,931 votes,044 43313353,https://www.zomato.com/chennai/amdavadi-t-nagar
24,Main Street - The Residency Towers,"The Residency Towers, T. Nagar","₹2,600","European,Chinese,Japanese,North Indian,Thai",3.9,821 votes,"+91 7401837543, 044 28156363",https://www.zomato.com/chennai/main-street-the-residency-towers-t-nagar
25,Bike & Barrel - The Residency Towers,"The Residency Towers, T. Nagar","₹2,500",Finger Food,4,808 votes,"+91 9677347555, 044 28156363",https://www.zomato.com/chennai/bike-and-barrel-the-residency-towers-t-nagar
26,The Crown - The Residency Towers,"The Residency Towers, T. Nagar","₹2,500","North Indian,Continental",4.2,583 votes,"+91 7401837541, 044 28156363",https://www.zomato.com/chennai/the-crown-the-residency-towers-t-nagar
27,That Mallu Joint,T. Nagar,₹500,"South Indian,Kerala",4.5,325 votes,+91 9344249747,https://www.zomato.com/chennai/that-mallu-joint-t-nagar
28,D Cafe,T. Nagar,"₹1,200","Mexican,Cafe,Italian,Chinese,European,Desserts",3.5,535 votes,"+91 9962432233, +91 9962532233",https://www.zomato.com/chennai/d-cafe-t-nagar
29,Paati Veedu,"Paati Veedu, T.Nagar","₹1,500",South Indian,4.1,255 votes,044 33011538,https://www.zomato.com/chennai/paati-veedu-9-t-nagar
30,Kommune,T. Nagar,"₹1,500","Asian,European,North Indian,South Indian",4.4,145 votes,044 30205671,https://www.zomato.com/chennai/kommune-t-nagar
31,Buhari,T. Nagar,₹900,"Biryani,Arabian,North Indian",3.8,441 votes,"+91 7200057172, +91 7200047172",https://www.zomato.com/chennai/buhari-t-nagar
32,KFC,T. Nagar,₹500,"Burger,Fast Food",3.6,534 votes,044 42146361,https://www.zomato.com/chennai/kfc-t-nagar
33,Nasi Kandar Pelita,T. Nagar,₹800,"Malaysian,Chinese,North Indian,Mughlai",3.9,452 votes,044 24335759,https://www.zomato.com/chennai/nasi-kandar-pelita-1-t-nagar
34,Hotel Virudhunagar,T. Nagar,₹500,"North Indian,Chinese,South Indian",3.9,444 votes,"044 42122769, +91 9500006550",https://www.zomato.com/chennai/hotel-virudhunagar-t-nagar
35,Yaa Mohaideen Briyani,T. Nagar,₹400,Biryani,3.8,455 votes,+91 9524333333,https://www.zomato.com/chennai/yaa-mohaideen-briyani-t-nagar
36,Coffee Central,T. Nagar,₹500,"Cafe,Fast Food",4.2,423 votes,044 42385210,https://www.zomato.com/chennai/coffee-central-t-nagar
37,Nellai Vairamaligai,T. Nagar,₹400,South Indian,4.3,412 votes,"+91 7200358888, 044 43858888",https://www.zomato.com/chennai/nellai-vairamaligai-t-nagar
38,Royal Indianaa - The Accord Metropolitan,"The Accord Metropolitan, T. Nagar","₹1,500","South Indian,North Indian",4.3,378 votes,"+91 8939836187, 044 28161000",https://www.zomato.com/chennai/royal-indianaa-the-accord-metropolitan-1-t-nagar
39,Aneef Biryani,T. Nagar,₹300,"Biryani,Chinese,North Indian,South Indian",4,491 votes,"+91 7550060400, 044 45560400",https://www.zomato.com/chennai/aneef-biryani-t-nagar
40,Bombaysthan,T. Nagar,₹500,"Desserts,Fast Food,Juices",3.9,313 votes,+91 9840716733,https://www.zomato.com/chennai/bombaysthan-t-nagar
41,New Andhra Meals Hotel,T. Nagar,₹500,"Andhra,North Indian,South Indian,Chinese",3.8,463 votes,"044 28154208, 044 42124609",https://www.zomato.com/chennai/new-andhra-meals-hotel-t-nagar
42,Shri Balaajee Bhavan,T. Nagar,₹500,"South Indian,North Indian",3.9,357 votes,044 28151008,https://www.zomato.com/chennai/shri-balaajee-bhavan-t-nagar
43,New Pattukottai Kamatchi Mess,T. Nagar,₹450,"South Indian,Chettinad",4.3,345 votes,+91 7550067777,https://www.zomato.com/chennai/new-pattukottai-kamatchi-mess-t-nagar
44,The Mayflower,T. Nagar,"₹1,200","Cafe,European,American",4.3,183 votes,+91 9884486959,https://www.zomato.com/chennai/the-mayflower-t-nagar
45,Mansukh Sweets & Snacks,T. Nagar,₹400,"Street Food,Beverages,Mithai",3.9,375 votes,"044 24341867, +91 9789906461",https://www.zomato.com/chennai/mansukh-sweets-snacks-t-nagar
46,Chin Chin - The Residency,"The Residency, T. Nagar","₹1,200","Thai,Chinese,Malaysian",4.1,268 votes,044 42121122,https://www.zomato.com/chennai/chin-chin-the-residency-t-nagar
47,Domino's Pizza,T. Nagar,₹400,"Pizza,Fast Food",3.9,297 votes,"044 40246888, 18602100000",https://www.zomato.com/chennai/dominos-pizza-t-nagar
48,Subway,T. Nagar,₹500,"Fast Food,Healthy Food",4.2,361 votes,+91 7358463623,https://www.zomato.com/chennai/subway-t-nagar
49,Hotel Saravana Bhavan,T. Nagar,₹400,"South Indian,Chinese",3.9,316 votes,044 28154662,https://www.zomato.com/chennai/hotel-saravana-bhavan-1-t-nagar
50,Amma Chettinadu Restaurant,T. Nagar,₹450,"Chettinad,Chinese,North Indian",3.9,284 votes,"044 42122176, 044 28340242",https://www.zomato.com/chennai/amma-chettinadu-restaurant-t-nagar
51,Moonlight Takeaway & Delivery,T. Nagar,₹450,"North Indian,Chinese,Biryani,Rolls",3.6,393 votes,"044 43506660, 044 43506661",https://www.zomato.com/chennai/moonlight-takeaway-delivery-t-nagar
52,Ferraree,"Benzz Park, T. Nagar",₹850,"Chinese,Continental,South Indian,North Indian",3.7,218 votes,"+91 9600020013, +91 9600020023",https://www.zomato.com/chennai/ferraree-t-nagar
53,Rainbow Restaurant,T. Nagar,₹550,"North Indian,South Indian,Chinese",3.7,249 votes,+91 9940082365,https://www.zomato.com/chennai/rainbow-restaurant-t-nagar
54,Spice Jar - The Residency,"The Residency, T. Nagar","₹1,500","Chinese,Continental,North Indian,South Indian",3.7,201 votes,044 42121122,https://www.zomato.com/chennai/spice-jar-the-residency-t-nagar
55,Amar Fast Food & Restaurant,T. Nagar,₹800,"North Indian,South Indian,Fast Food,Chinese",3.9,221 votes,"044 28152020, 044 28151919",https://www.zomato.com/chennai/amar-fast-food-restaurant-t-nagar
56,Skyline,T. Nagar,"₹1,500","Finger Food,North Indian,Chinese",3.9,281 votes,"+91 9962162761, +91 9566100326",https://www.zomato.com/chennai/skyline-t-nagar
57,Masaledaar Desi Rasoi,T. Nagar,₹800,"North Indian,Chinese,Desserts",3.9,211 votes,044 30205597,https://www.zomato.com/chennai/masaledaar-desi-rasoi-t-nagar
58,This Way In,T. Nagar,₹600,"American,Fast Food",4.3,128 votes,+91 9600095911,https://www.zomato.com/chennai/this-way-in-1-t-nagar
59,The Noodle Theory,T. Nagar,₹400,"Asian,Momos",4.3,160 votes,+91 9884440603,https://www.zomato.com/chennai/the-noodle-theory-t-nagar
60,Steam & Whistles - Grand by GRT Hotels,Grand by GRT Hotels,"₹2,400","Finger Food,Momos",4.4,280 votes,"+91 9840926720, +91 9940141914",https://www.zomato.com/chennai/steam-whistles-grand-by-grt-hotels-t-nagar
61,Green Cafe,T. Nagar,₹400,"South Indian,Chinese,Beverages",4,118 votes,+91 9952978888,https://www.zomato.com/chennai/green-cafe-t-nagar
62,Madurai Kumar Mess,T. Nagar,₹350,"Chettinad,Chinese",3.9,175 votes,+91 7339406660,https://www.zomato.com/chennai/madurai-kumar-mess-t-nagar
63,Chocolate Fantasy,T. Nagar,₹300,"Desserts,Bakery,Ice Cream",3.8,109 votes,"+91 9840942065, 044 28340200",https://www.zomato.com/chennai/chocolate-fantasy-t-nagar
64,V4 Ambur Biriyanis,T. Nagar,₹550,"Biryani,Chettinad,North Indian,Chinese",3.9,240 votes,"+91 9283490846, +91 9941010190",https://www.zomato.com/chennai/v4-ambur-biriyanis-t-nagar
65,Dhaba Diner,T. Nagar,₹800,North Indian,3.8,86 votes,"044 66333444, +91 7338993555",https://www.zomato.com/chennai/dhaba-diner-t-nagar
66,ibaco,T. Nagar,₹200,"Ice Cream,Desserts",4.1,160 votes,"+91 9380117258, +91 8072804026",https://www.zomato.com/chennai/ibaco-t-nagar
67,Gangotree,T. Nagar,₹200,"Mithai,Street Food",3.6,209 votes,"044 42125061, 044 42029472",https://www.zomato.com/chennai/gangotree-t-nagar
68,Desi Rasoi's Punjabi Dhaba,T. Nagar,₹600,North Indian,3.6,198 votes,"044 42127939, 044 24353423",https://www.zomato.com/chennai/desi-rasois-punjabi-dhaba-t-nagar
69,Chef Express,T. Nagar,₹650,"Italian,Pizza,Fast Food",3.9,205 votes,"044 42171717, 044 24360202",https://www.zomato.com/chennai/chef-express-t-nagar
70,Geetha Cafe,T. Nagar,₹350,"Chinese,Desserts,North Indian",3.8,173 votes,044 28150083,https://www.zomato.com/chennai/geetha-cafe-t-nagar
71,Chai Kings,T. Nagar,₹200,"Cafe,Fast Food",4.2,187 votes,044 45580000,https://www.zomato.com/chennai/chai-kings-t-nagar
72,Anjappar,T. Nagar,₹600,"Chettinad,North Indian,Chinese",2.8,158 votes,044 43502746,https://www.zomato.com/chennai/anjappar-1-t-nagar
73,Southern Aromas - The Residency Towers,"The Residency Towers, T. Nagar","₹1,300",South Indian,3.9,106 votes,"+91 7401837542, 044 28156363",https://www.zomato.com/chennai/southern-aromas-the-residency-towers-t-nagar
74,The Brick Oven,"The Accord Metropolitan, T. Nagar","₹2,500","North Indian,Chinese,Continental",3.9,84 votes,"+91 8939737525, 044 28161000",https://www.zomato.com/chennai/the-brick-oven-t-nagar
75,Tic Tac,T. Nagar,₹500,"Chinese,North Indian,Rolls",3.8,166 votes,"044 28251030, 044 28251031",https://www.zomato.com/chennai/tic-tac-t-nagar
76,A2B - Adyar Ananda Bhavan,T. Nagar,₹750,"Mithai,North Indian,South Indian,Chinese,Fast Food,Street Food",3.7,131 votes,"18001024545, 044 23453041",https://www.zomato.com/chennai/a2b-adyar-ananda-bhavan-1-t-nagar
77,Beef Wala,T. Nagar,₹300,"Biryani,Chinese",3.5,183 votes,"+91 8122453755, +91 8248698502",https://www.zomato.com/chennai/beef-wala-t-nagar
78,Cream & Fudge,T. Nagar,₹250,"Ice Cream,Desserts",3.8,116 votes,"044 24333900, +91 9444311142",https://www.zomato.com/chennai/cream-fudge-1-t-nagar
79,Madras Coffee House,T. Nagar,₹100,"Fast Food,Beverages",4,161 votes,+91 9600421414,https://www.zomato.com/chennai/madras-coffee-house-t-nagar
80,Frontier Kitchen,T. Nagar,₹800,"North Indian,Chinese,Mughlai,Beverages",3.9,97 votes,"+91 9169040040, +91 9169020020",https://www.zomato.com/chennai/frontier-kitchen-t-nagar
81,Royal Sandwich Shop,T. Nagar,₹250,"Fast Food,Chinese,Beverages",3.5,159 votes,"+91 9840552948, +91 8939227336",https://www.zomato.com/chennai/royal-sandwich-shop-t-nagar
82,Roattukadai Food Court,T. Nagar,₹300,"Biryani,Chinese,South Indian,North Indian",3.3,135 votes,"+91 7550158868, +91 9884303600",https://www.zomato.com/chennai/roattukadai-food-court-t-nagar
83,Lexxus,"Benzz Park, T. Nagar",₹800,"Continental,North Indian,Finger Food",3.7,108 votes,"044 42189999, 044 25159999",https://www.zomato.com/chennai/lexxus-t-nagar
84,Ajnabee Sweets,T. Nagar,₹300,"Street Food,North Indian",3.5,83 votes,"044 48528281, +91 7305357777",https://www.zomato.com/chennai/ajnabee-sweets-t-nagar
85,Coffee Shastra,T. Nagar,₹200,"Beverages,Fast Food",3.8,95 votes,044 42028303,https://www.zomato.com/chennai/coffee-shastra-t-nagar
86,Crunchy Munchy Chats,T. Nagar,₹250,Street Food,4,88 votes,+91 9790752225,https://www.zomato.com/chennai/crunchy-munchy-chats-t-nagar
87,Convo@C17,T. Nagar,"₹1,000","Cafe,American,Salad,Continental,Italian",NEW,,044 30205558,https://www.zomato.com/chennai/convo@c17-t-nagar
88,Andhra Spice,T. Nagar,₹400,"Andhra,Seafood,North Indian",4.2,61 votes,+91 8870573791,https://www.zomato.com/chennai/andhra-spice-t-nagar
89,Brownie Heaven,T. Nagar,₹300,Desserts,4,68 votes,"+91 8778451355, +91 9004009238",https://www.zomato.com/chennai/brownie-heaven-t-nagar
90,Bonfire,T. Nagar,₹500,"North Indian,South Indian",3.5,93 votes,+91 7299942727,https://www.zomato.com/chennai/bonfire-t-nagar
91,Sri Krishna Sweets,T. Nagar,₹200,"Mithai,Street Food",3.9,82 votes,044 42641060,https://www.zomato.com/chennai/sri-krishna-sweets-t-nagar
92,Madurai Famous Jigarthanda,T. Nagar,₹100,"Beverages,Desserts",3.9,89 votes,"+91 9884881410, +91 8122223395",https://www.zomato.com/chennai/madurai-famous-jigarthanda-t-nagar
93,Madurai Saradha Mess,T. Nagar,₹300,"South Indian,Chinese",3.1,109 votes,+91 9444223150,https://www.zomato.com/chennai/madurai-saradha-mess-t-nagar
94,Shree Lalithaa Bhavan,T. Nagar,₹450,"South Indian,Chinese",4,96 votes,044 48546484,https://www.zomato.com/chennai/shree-lalithaa-bhavan-t-nagar
95,Tranz Bar,T. Nagar,"₹1,500","Finger Food,North Indian,Chinese",3.7,99 votes,"+91 9789806020, +91 9566100326",https://www.zomato.com/chennai/tranz-bar-t-nagar
96,Asal Biriyani,T. Nagar,₹500,"Biryani,South Indian,Chinese",3.5,106 votes,"+91 9087445000, +91 9789081999",https://www.zomato.com/chennai/asal-biriyani-t-nagar
97,Grill Idan,T. Nagar,₹600,"Chinese,BBQ,South Indian,North Indian",3.7,90 votes,"044 42648822, +91 9840422922",https://www.zomato.com/chennai/grill-idan-t-nagar
98,Trella,T. Nagar,"₹1,000","Continental,Kebab,North Indian,Chinese",3.9,52 votes,+91 7338991444,https://www.zomato.com/chennai/trella-t-nagar
99,Cream En Creamy,T. Nagar,₹400,"Ice Cream,Fast Food,Beverages",3.3,81 votes,+91 9566229333,https://www.zomato.com/chennai/cream-en-creamy-t-nagar
100,Cake Park,T. Nagar,₹600,"Bakery,Desserts,Fast Food",3.7,67 votes,"044 48556240, +91 9445475094",https://www.zomato.com/chennai/cake-park-t-nagar
101,WOSS - World of Sub's & Salad's,T. Nagar,₹500,Fast Food,3.5,44 votes,+91 9176488666,https://www.zomato.com/chennai/woss-world-of-subs-salads-t-nagar
102,Woodlands T.R.,T. Nagar,₹350,"South Indian,North Indian",2.4,65 votes,044 24346627,https://www.zomato.com/chennai/woodlands-t-r-t-nagar
103,Fruit Shop On Greams Road,T. Nagar,₹300,"Beverages,Fast Food",3.9,63 votes,044 23460988,https://www.zomato.com/chennai/fruit-shop-on-greams-road-t-nagar
104,Cake Square,T. Nagar,₹400,Bakery,3.7,76 votes,+91 9600048511,https://www.zomato.com/chennai/cake-square-t-nagar
105,The Grand Sweets and Snacks - Amirtham Restaurant,T. Nagar,₹500,"Mithai,Street Food,South Indian",3.6,70 votes,044 42124466,https://www.zomato.com/chennai/the-grand-sweets-and-snacks-amirtham-restaurant-t-nagar
106,The Grand Sweets and Snacks,T. Nagar,₹450,"Mithai,Chinese,Street Food,South Indian,North Indian",3.6,76 votes,"044 28346484, +91 8754411647",https://www.zomato.com/chennai/the-grand-sweets-and-snacks-t-nagar
107,Madurai Pandian Mess,T. Nagar,₹250,"South Indian,Biryani",3.7,86 votes,"+91 9941305383, +91 9578455591",https://www.zomato.com/chennai/madurai-pandian-mess-t-nagar
108,R K Agarwal's Sweets & Snacks,T. Nagar,₹300,"Mithai,North Indian,Chinese,Fast Food",3.8,23 votes,044 48606423,https://www.zomato.com/chennai/r-k-agarwals-sweets-snacks-t-nagar
109,Middle Class,T. Nagar,₹200,"Fast Food,South Indian",3.6,76 votes,+91 9940331616,https://www.zomato.com/chennai/middle-class-t-nagar
110,The Palette,T. Nagar,₹550,"Continental,Italian,Chinese",3.8,28 votes,044 24313334,https://www.zomato.com/chennai/the-palette-t-nagar
111,Omar Khayyam,T. Nagar,₹450,"North Indian,Chinese,South Indian",2.6,59 votes,044 28142740,https://www.zomato.com/chennai/omar-khayyam-t-nagar
112,BKR Grand Hotel,"BKR Grand Hotel, T. Nagar",₹500,"South Indian,North Indian,Chinese",2.4,70 votes,044 24327151,https://www.zomato.com/chennai/bkr-fine-dine-restaurant-t-nagar
113,Ambur Star Biryani,T. Nagar,₹600,"Biryani,Chinese,North Indian",3.7,68 votes,"044 42147373, +91 9445207373",https://www.zomato.com/chennai/ambur-star-biryani-t-nagar
114,The Cupcakery,T. Nagar,₹300,Desserts,3.9,74 votes,+91 9176959590,https://www.zomato.com/chennai/the-cupcakery-t-nagar
115,Hot Chips,T. Nagar,₹450,"South Indian,Street Food,Chinese",2.9,73 votes,044 28150168,https://www.zomato.com/chennai/hot-chips-t-nagar
116,Black And White - The Residency,"The Residency, T. Nagar","₹1,400",Finger Food,3.7,74 votes,044 42121122,https://www.zomato.com/chennai/black-and-white-the-residency-t-nagar
117,Chai'ce,T. Nagar,₹200,"Fast Food,Beverages",3.8,58 votes,+91 9962572200,https://www.zomato.com/chennai/chaice-t-nagar
118,Chicago Pizza,T. Nagar,₹600,"Pizza,Beverages",3.5,53 votes,+91 7845739697,https://www.zomato.com/chennai/chicago-pizza-t-nagar
119,Andhra House,T. Nagar,₹900,"Andhra,South Indian,Biryani,Seafood",2.6,95 votes,+91 9087201234,https://www.zomato.com/chennai/andhra-house-t-nagar
120,Kulfi Treat,T. Nagar,₹100,"Desserts,Ice Cream,Beverages",3.8,55 votes,+91 9994740180,https://www.zomato.com/chennai/kulfi-treat-t-nagar
121,The Tandoori Wala,T. Nagar,₹800,"North Indian,Chinese,Biryani",3.3,44 votes,"00 48636455, +91 9840039011",https://www.zomato.com/thetandooriwala
122,Madurai Vilakuthoon Hanifa Jigarthanda,T. Nagar,₹200,"Street Food,Desserts",3.6,40 votes,+91 9842888549,https://www.zomato.com/chennai/madurai-vilakuthoon-hanifa-jigarthanda-t-nagar
123,The ThickShake Factory,T. Nagar,₹400,Beverages,3.7,64 votes,+91 7094300676,https://www.zomato.com/chennai/the-thickshake-factory-t-nagar
124,Cafe Coffee Day,T. Nagar,₹600,"Cafe,Beverages,Fast Food,Sandwich,Desserts",2.9,30 votes,18001025093,https://www.zomato.com/chennai/cafe-coffee-day-3-t-nagar
125,Old Madras Baking Company,T. Nagar,₹300,"Bakery,Desserts",3.6,37 votes,044 48648629,https://www.zomato.com/chennai/old-madras-baking-company-t-nagar
126,Pasta & Fries Hub,T. Nagar,₹350,"Italian,Fast Food,Desserts,Beverages",3.6,42 votes,+91 7092205261,https://www.zomato.com/pasta-fries-hub
127,Hot Breads,T. Nagar,₹450,"Bakery,Fast Food",3.5,45 votes,"044 28153928, 044 28153998",https://www.zomato.com/chennai/hot-breads-t-nagar
128,McDonald's,T. Nagar,₹500,"Burger,Fast Food,Beverages,Cafe,Desserts",3.9,29 votes,+91 8928949331,https://www.zomato.com/chennai/mcdonalds-t-nagar
129,The Right Place - The Residency,"The Residency, T. Nagar","₹1,400","Italian,North Indian,Continental,South Indian",3.6,43 votes,044 42121122,https://www.zomato.com/chennai/the-right-place-the-residency-t-nagar
130,Visitors Restaurant,T. Nagar,₹800,"Biryani,Continental",3.6,55 votes,"+91 9941919977, 044 24342554",https://www.zomato.com/chennai/visitors-restaurant-1-t-nagar
131,Rendezvous - Quality Inn Sabari,"Quality Inn Sabari, T. Nagar",₹800,"South Indian,Mughlai,North Indian,Continental",2.9,54 votes,044 49043030,https://www.zomato.com/chennai/rendezvous-quality-inn-sabari-t-nagar
132,Starbucks Coffee,T. Nagar,₹700,"Cafe,Sandwich",3.8,42 votes,+91 9136960584,https://www.zomato.com/chennai/starbucks-coffee-t-nagar
133,Hot Chips & Chaat,T. Nagar,₹400,"Fast Food,North Indian,Chinese,Beverages",3.7,36 votes,+91 9444013304,https://www.zomato.com/chennai/hot-chips-chaat-t-nagar
134,Indian Coffee House,T. Nagar,₹250,"South Indian,Beverages",2.8,42 votes,044 24345598,https://www.zomato.com/chennai/indian-coffee-house-t-nagar
135,Absolute Arusuvai,T. Nagar,₹400,"South Indian,North Indian,Desserts",3.8,54 votes,"+91 9159922996, 044 28157077",https://www.zomato.com/chennai/absolute-arusuvai-t-nagar
136,Kozhi Idli,T. Nagar,₹300,South Indian,3.6,40 votes,"044 48636993, +91 7358606993",https://www.zomato.com/chennai/kozhi-idli-t-nagar
137,Bowl'd,T. Nagar,₹300,South Indian,4,41 votes,+91 9551604056,https://www.zomato.com/chennai/bowld-t-nagar
138,Unicorn Bar,T. Nagar,"₹1,000","Finger Food,Seafood,North Indian,Chinese",3.6,51 votes,044 33071944,https://www.zomato.com/chennai/unicorn-bar-t-nagar
139,DoAsai 2.0,"The Food Hut, T.Nagar",₹200,South Indian,3.4,39 votes,+91 9841078142,https://www.zomato.com/chennai/doasai-2-0-t-nagar
140,New Hyderabad Briyani,T. Nagar,₹600,"Biryani,Chinese,South Indian",3.2,39 votes,"044 48566889, +91 9176567777",https://www.zomato.com/chennai/new-hyderabad-briyani-t-nagar
141,Nandhiniee Sweets,T. Nagar,₹400,"Mithai,Street Food,Fast Food,Chinese,North Indian",3.7,37 votes,044 42867964,https://www.zomato.com/chennai/nandhiniee-sweets-t-nagar
142,Zodiac - The Accord Metropolitan,"The Accord Metropolitan, T. Nagar","₹1,600",Finger Food,3.4,57 votes,"+91 8939836184, 044 28161000",https://www.zomato.com/chennai/zodiac-the-accord-metropolitan-t-nagar
143,GMT - Gelateria Montecatini Terme,T. Nagar,₹250,"Fast Food,Ice Cream",3.5,42 votes,+91 9841333622,https://www.zomato.com/chennai/gmt-gelateria-montecatini-terme-t-nagar
144,Baskin Robbins,T. Nagar,₹300,"Ice Cream,Desserts,Beverages",3.1,36 votes,+91 9840789777,https://www.zomato.com/chennai/baskin-31-robbins-1-t-nagar
145,FryYo,T. Nagar,₹300,Fast Food,3.4,49 votes,044 24330601,https://www.zomato.com/chennai/fryyo-t-nagar
146,The Kati Roll Shop,"The Food Hut, T.Nagar",₹400,"Rolls,Chinese,North Indian",3.5,42 votes,+91 9841078142,https://www.zomato.com/chennai/the-kati-roll-shop-t-nagar
147,Karaikudi Chettinadu Mess,T. Nagar,₹450,"Chettinad,Chinese,Seafood,South Indian,Biryani",3.2,34 votes,044 48545450,https://www.zomato.com/chennai/karaikudi-chettinadu-mess-1-t-nagar
148,Signature,T. Nagar,₹500,"North Indian,Chinese,Arabian",3.4,43 votes,+91 8754488321,https://www.zomato.com/chennai/signature-t-nagar
149,Sans Sandwich,T. Nagar,₹250,"Sandwich,Fast Food,Beverages",3,32 votes,+91 9789077717,https://www.zomato.com/chennai/sans-sandwich-t-nagar
150,Arabian Biryani Centre,T. Nagar,₹300,Biryani,3.3,35 votes,+91 8680992369,https://www.zomato.com/chennai/arabian-biryani-centre-t-nagar
151,Archana Sweets,T. Nagar,₹350,"Mithai,North Indian,South Indian",2.8,35 votes,"044 24344440, +91 9955172180",https://www.zomato.com/chennai/archana-sweets-t-nagar
152,Grandpa's Kitchen,T. Nagar,₹200,Fast Food,3.5,29 votes,+91 7358777877,https://www.zomato.com/chennai/grandpas-kitchen-t-nagar
153,Hotel Atchaya Bhavan,T. Nagar,₹300,"South Indian,Chinese,North Indian",3.4,35 votes,044 24354609,https://www.zomato.com/chennai/hotel-atchaya-bhavan-1-t-nagar
154,Mr. Papdi,T. Nagar,₹150,"North Indian,Street Food",3.5,36 votes,+91 9042751955,https://www.zomato.com/chennai/mr-papdi-t-nagar
